Title,Note,URL,Tags,Comment
,,,,
Hot N Cajun Boil House,,https://www.google.com/maps/place/Hot+N+Cajun+Boil+House/data=!4m2!3m1!1s0x8620a7002c30e445:0x2e5ab60d385237d9,,
Roami at Factors Row,,https://www.google.com/maps/place/Roami+at+Factors+Row/data=!4m2!3m1!1s0x8620a766612c4407:0xcecfab7614e682fe,,
illi Rug Hamamatsucho,,https://www.google.com/maps/place/illi+Rug+Hamamatsucho/data=!4m2!3m1!1s0x60188b2559760475:0x424961c5e4c60729,,
Shuhari Dojima,,https://www.google.com/maps/place/Shuhari+Dojima/data=!4m2!3m1!1s0x6000e6f2e2208d0d:0x270ef07d5a237ad2,,
京都 肉のひろ重 御池之,,https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD+%E8%82%89%E3%81%AE%E3%81%B2%E3%82%8D%E9%87%8D+%E5%BE%A1%E6%B1%A0%E4%B9%8B/data=!4m2!3m1!1s0x6001091cc3bb0467:0x4ee2188104795d13,,
"34°39'17.0""N 135°30'35.3""E",,"https://www.google.com/maps/search/34.6547222,135.5098056",,
Tower Knives Osaka,,https://www.google.com/maps/place/Tower+Knives+Osaka/data=!4m2!3m1!1s0x6000e75fc3d9ac89:0x101c04edceaa97fd,,
1 Chome Okubo,,https://www.google.com/maps/place/1+Chome+Okubo/data=!4m2!3m1!1s0x60188d2714250bcf:0x766ce3e8798a0190,,
Karaoke Pasela Shinjuku Honten,,https://www.google.com/maps/place/Karaoke+Pasela+Shinjuku+Honten/data=!4m2!3m1!1s0x60188cd9a03e738f:0xfa4fb1c33cafc23a,,
Mori Art Museum,,https://www.google.com/maps/place/Mori+Art+Museum/data=!4m2!3m1!1s0x60188b770f429483:0xff33d131dc8d6e9,,
Don Quijote Ginza Honkan,,https://www.google.com/maps/place/Don+Quijote+Ginza+Honkan/data=!4m2!3m1!1s0x60188be80f065c13:0x5f71c9a560322bca,,
Bloomberg LP,,https://www.google.com/maps/place/Bloomberg+LP/data=!4m2!3m1!1s0x60188bf9edd0cb1f:0x97eab898037d5cfd,,
Studio Optix,,https://www.google.com/maps/place/Studio+Optix/data=!4m2!3m1!1s0x89c258ff27d0a0e1:0xfdc9715f5c6e76ff,,
BEAMS GINZA,,https://www.google.com/maps/place/BEAMS+GINZA/data=!4m2!3m1!1s0x60188be5d215099d:0x7375e534ad42624a,,
Sensō-ji,,https://www.google.com/maps/place/Sens%C5%8D-ji/data=!4m2!3m1!1s0x60188ec1a4463df1:0x6c0d289a8292810d,,
Uniqlo Ginza Flagship Store,,https://www.google.com/maps/place/Uniqlo+Ginza+Flagship+Store/data=!4m2!3m1!1s0x60188be66e07d36f:0x45e536859ebe18d3,,
teamLab Planets TOKYO DMM,,https://www.google.com/maps/place/teamLab+Planets+TOKYO+DMM/data=!4m2!3m1!1s0x60188908e728e749:0x6de450c94bd3d622,,
teamLab Borderless: MORI Building DIGITAL ART MUSEUM,,https://www.google.com/maps/place/teamLab+Borderless:+MORI+Building+DIGITAL+ART+MUSEUM/data=!4m2!3m1!1s0x601889fad49a9443:0x5831aba3288d2651,,
Shibuya Scramble Crossing,,https://www.google.com/maps/place/Shibuya+Scramble+Crossing/data=!4m2!3m1!1s0x60188bcaeb0cd12b:0x20e563a2e0aec969,,
Fitzpatrick Grand Central,,https://www.google.com/maps/place/Fitzpatrick+Grand+Central/data=!4m2!3m1!1s0x89c259025ef23a31:0x15ba2766771115bc,,
