Title,Note,URL,Tags,Comment
,,,,
forestlimit,music,https://www.google.com/maps/place/forestlimit/data=!4m2!3m1!1s0x6018f324b7078185:0xbf2bc75ed0c398d2,,
Milk & Hops,,https://www.google.com/maps/place/Milk+%26+Hops/data=!4m2!3m1!1s0x89c259b913afa637:0xa67ff555a81db866,,
Happy Medium,,https://www.google.com/maps/place/Happy+Medium/data=!4m2!3m1!1s0x89c25b743e271ef3:0xc25474365abe30a3,,
Book Club,,https://www.google.com/maps/place/Book+Club/data=!4m2!3m1!1s0x89c25920e6e311c3:0xdb1ca1937b3d96fe,,
Kaiyo,,https://www.google.com/maps/place/Kaiyo/data=!4m2!3m1!1s0x89c25a18445bd4dd:0x7340fcec1ee2e372,,
Madame Vo,,https://www.google.com/maps/place/Madame+Vo/data=!4m2!3m1!1s0x89c2599c4c8416a9:0xde39d305acb04e8a,,
Patel Brothers,,https://www.google.com/maps/place/Patel+Brothers/data=!4m2!3m1!1s0x89c25f07224e71c3:0x5e82fe9d9b517cd9,,
Washington Square Park,,https://www.google.com/maps/place/Washington+Square+Park/data=!4m2!3m1!1s0x89c25990e23d7e8d:0xfa615edfd1b67e18,,
Joe & Pat’s NYC,tri pi,https://www.google.com/maps/place/Joe+%26+Pat%E2%80%99s+NYC/data=!4m2!3m1!1s0x89c2599d913ba2c5:0x32e65cc2fde1c8d0,,
John's of Bleecker Street,,https://www.google.com/maps/place/John's+of+Bleecker+Street/data=!4m2!3m1!1s0x89c25993a1376eb9:0x41ca6e3a2f6d4e74,,
L&B Spumoni Gardens,,https://www.google.com/maps/place/L%26B+Spumoni+Gardens/data=!4m2!3m1!1s0x89c2445522653dab:0xbd45b8d4c4d774c9,,
Burrito Box,,https://www.google.com/maps/place/Burrito+Box/data=!4m2!3m1!1s0x89c25858fb61ed67:0xa083c1008c018148,,
Bocca di Bacco,,https://www.google.com/maps/place/Bocca+di+Bacco/data=!4m2!3m1!1s0x89c25859c5166577:0x58ad34315becbfc0,,
Jane's Carousel,,https://www.google.com/maps/place/Jane's+Carousel/data=!4m2!3m1!1s0x89c25a311f95d953:0x63ccbc2bfd4ed370,,
Sunrise Mart 日系スーパー,,https://www.google.com/maps/place/Sunrise+Mart+%E6%97%A5%E7%B3%BB%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC/data=!4m2!3m1!1s0x89c2590057bb264f:0xb73ab4e8773e1c95,,
Katagiri Japanese Grocery,,https://www.google.com/maps/place/Katagiri+Japanese+Grocery/data=!4m2!3m1!1s0x89c25903de8d13f1:0xbcf60d3ae35c35d5,,
