Title,Note,URL,Tags,Comment
,,,,
COQODAQ,,https://www.google.com/maps/place/COQODAQ/data=!4m2!3m1!1s0x89c259132267e8a7:0xb3666ec78c6251ab,,
NOLA Poboys,,https://www.google.com/maps/place/NOLA+Poboys/data=!4m2!3m1!1s0x8620a61047b2bce1:0xa1f373c28970b638,,
Hot N Cajun Boil House,,https://www.google.com/maps/place/Hot+N+Cajun+Boil+House/data=!4m2!3m1!1s0x8620a7002c30e445:0x2e5ab60d385237d9,,
Hazel's,,https://www.google.com/maps/place/Hazel's/data=!4m2!3m1!1s0x8824c7c46c9e9dc3:0xfb74bee4e7240ab9,,
Nowon East Village,,https://www.google.com/maps/place/Nowon+East+Village/data=!4m2!3m1!1s0x89c259ac4080178d:0x5f2796bd79da7a9e,,
7th Street Burger Chelsea,,https://www.google.com/maps/place/7th+Street+Burger+Chelsea/data=!4m2!3m1!1s0x89c259b885237109:0x81c59472b70ff094,,
Nubeluz,,https://www.google.com/maps/place/Nubeluz/data=!4m2!3m1!1s0x89c25946a084e7f7:0x2fe0a5fbb5b06c76,,
Bunny&Bro Coffee,,https://www.google.com/maps/place/Bunny%26Bro+Coffee/data=!4m2!3m1!1s0x89c2591049f5f775:0x19ccc68132d4a279,,
Oiji Mi,,https://www.google.com/maps/place/Oiji+Mi/data=!4m2!3m1!1s0x89c259664d15ed79:0x5c9ea8800269810d,,
KJUN,,https://www.google.com/maps/place/KJUN/data=!4m2!3m1!1s0x89c2590f477812ef:0x582468ab583e0485,,
Chez Oskar,,https://www.google.com/maps/place/Chez+Oskar/data=!4m2!3m1!1s0x89c25bb9fcc5a3f3:0xcebbf75709122735,,
Bánh Anh Em,,https://www.google.com/maps/place/B%C3%A1nh+Anh+Em/data=!4m2!3m1!1s0x89c259000206230f:0x4a1bab6605e00a82,,
Brooklyn Chckn 'N' Lbstr,,https://www.google.com/maps/place/Brooklyn+Chckn+'N'+Lbstr/data=!4m2!3m1!1s0x89c25d91116d8d47:0x60cf5b03f6ccc1c6,,
Haenyeo,,https://www.google.com/maps/place/Haenyeo/data=!4m2!3m1!1s0x89c25b0071e95555:0x565ba82397d2acb4,,
Bricolage,,https://www.google.com/maps/place/Bricolage/data=!4m2!3m1!1s0x89c25baa54979ebb:0x583dfc64acc3a12a,,
Anytime Bar & Billiards,,https://www.google.com/maps/place/Anytime+Bar+%26+Billiards/data=!4m2!3m1!1s0x89c25970f68284d9:0xcefdc5cd70d0c7e,,
Jongro Gopchang,,https://www.google.com/maps/place/Jongro+Gopchang/data=!4m2!3m1!1s0x89c25973629b3d25:0xe035af7a2665d0a8,,
Regina's Grocery,,https://www.google.com/maps/place/Regina's+Grocery/data=!4m2!3m1!1s0x89c25a29b5377ceb:0xdb63704888f090cf,,
Pine & Ginger,,https://www.google.com/maps/place/Pine+%26+Ginger/data=!4m2!3m1!1s0x89c25b44e842afb7:0xb61f14780dae56b4,,
Wayne and Sons,,https://www.google.com/maps/place/Wayne+and+Sons/data=!4m2!3m1!1s0x89c25965813b34a3:0xbb835b0cf32bbb8d,,
Brennan & Carr,,https://www.google.com/maps/place/Brennan+%26+Carr/data=!4m2!3m1!1s0x89c24484a6731d21:0xfdce2b16beb5afe0,,
Cafe Lily,,https://www.google.com/maps/place/Cafe+Lily/data=!4m2!3m1!1s0x89c2451d8e56f9a7:0x3ef23bf3b5a112e5,,
