Title,Note,URL,Tags,Comment
,,,,
Hazel's,,https://www.google.com/maps/place/Hazel's/data=!4m2!3m1!1s0x8824c7c46c9e9dc3:0xfb74bee4e7240ab9,,
Nowon East Village,,https://www.google.com/maps/place/Nowon+East+Village/data=!4m2!3m1!1s0x89c259ac4080178d:0x5f2796bd79da7a9e,,
7th Street Burger Chelsea,,https://www.google.com/maps/place/7th+Street+Burger+Chelsea/data=!4m2!3m1!1s0x89c259b885237109:0x81c59472b70ff094,,
forestlimit,,https://www.google.com/maps/place/forestlimit/data=!4m2!3m1!1s0x6018f324b7078185:0xbf2bc75ed0c398d2,,
The Commons Chelsea,,https://www.google.com/maps/place/The+Commons+Chelsea/data=!4m2!3m1!1s0x89c259bbcc557289:0xd8394b7cd915ea6d,,
Aux Merveilleux de Fred,,https://www.google.com/maps/place/Aux+Merveilleux+de+Fred/data=!4m2!3m1!1s0x89c259957da502cd:0xed3eb58a4ca08a95,,
Marie Blachère Bakery & Café,,https://www.google.com/maps/place/Marie+Blach%C3%A8re+Bakery+%26+Caf%C3%A9/data=!4m2!3m1!1s0x89c259adb6595055:0x53ab54e6eb47c720,,
Barachou West Village,,https://www.google.com/maps/place/Barachou+West+Village/data=!4m2!3m1!1s0x89c259f2d9ad8ce1:0x6f8592203bb07f1c,,
Fabrique Artisan Bakery,,https://www.google.com/maps/place/Fabrique+Artisan+Bakery/data=!4m2!3m1!1s0x89c2591dfa7d103f:0xf076dd95447fc641,,
Librae Bakery,,https://www.google.com/maps/place/Librae+Bakery/data=!4m2!3m1!1s0x89c25943f1ac200f:0x35eadc7fbe1dd768,,
Qahwah House W Village,,https://www.google.com/maps/place/Qahwah+House+W+Village/data=!4m2!3m1!1s0x89c2592281da7965:0x128fc3868f2675a,,
KENKA,,https://www.google.com/maps/place/KENKA/data=!4m2!3m1!1s0x89c2599c7be31789:0x10beb13b71abee3,,
Mountain House Manhattan 川山甲,,https://www.google.com/maps/place/Mountain+House+Manhattan+%E5%B7%9D%E5%B1%B1%E7%94%B2/data=!4m2!3m1!1s0x89c2599c79b00001:0xef65378399982a9b,,
Cho Dang Gol,,https://www.google.com/maps/place/Cho+Dang+Gol/data=!4m2!3m1!1s0x89c259a963364753:0xcf37071ffd9c5c2a,,
Mamasita Bar & Grill,,https://www.google.com/maps/place/Mamasita+Bar+%26+Grill/data=!4m2!3m1!1s0x89c2585a2309268b:0xf7113b6349d3651c,,
The Meatball Shop - Hell's Kitchen,,https://www.google.com/maps/place/The+Meatball+Shop+-+Hell's+Kitchen/data=!4m2!3m1!1s0x89c2585767740243:0x5ccf49d47454724a,,
Maiden Lane,,https://www.google.com/maps/place/Maiden+Lane/data=!4m2!3m1!1s0x89c2597706bba79f:0xd0c43a3cf63fc20c,,
Hanoi House,,https://www.google.com/maps/place/Hanoi+House/data=!4m2!3m1!1s0x89c2599d668a6c05:0x1e72d38c83ee191e,,
TRUVA Cafe & Grill,,https://www.google.com/maps/place/TRUVA+Cafe+%26+Grill/data=!4m2!3m1!1s0x89c25f67faa3d53d:0x88da8ab76daa7572,,
La Contenta,,https://www.google.com/maps/place/La+Contenta/data=!4m2!3m1!1s0x89c259811db19175:0x69178aab1856ce8f,,
Soothr,,https://www.google.com/maps/place/Soothr/data=!4m2!3m1!1s0x89c25923d7bca4d1:0x5bbeae84d9924f22,,
HYUN,,https://www.google.com/maps/place/HYUN/data=!4m2!3m1!1s0x89c2591f71785cc9:0xcda4e7e42b665a8d,,
Empanada Mama Hell’s Kitchen,,https://www.google.com/maps/place/Empanada+Mama+Hell%E2%80%99s+Kitchen/data=!4m2!3m1!1s0x89c25857378598b1:0xe9063cb16f91db4,,
Cafe Mogador,,https://www.google.com/maps/place/Cafe+Mogador/data=!4m2!3m1!1s0x89c2599d133e8f2b:0x2df7f1a7bf3e00bc,,
Portage Bay Cafe - Roosevelt,,https://www.google.com/maps/place/Portage+Bay+Cafe+-+Roosevelt/data=!4m2!3m1!1s0x549014f46dc19ccd:0x7622e74c9df4473f,,
San Fermo,,https://www.google.com/maps/place/San+Fermo/data=!4m2!3m1!1s0x549015c65e65674f:0x8fc2a4d7a085336,,
Hiroshi's Poke,,https://www.google.com/maps/place/Hiroshi's+Poke/data=!4m2!3m1!1s0x5490146022cad859:0xe877543260d0f8af,,
Xi'an Noodles,,https://www.google.com/maps/place/Xi'an+Noodles/data=!4m2!3m1!1s0x54901463e93af9cb:0x265af15bf194a314,,
Kona Grill - Troy,,https://www.google.com/maps/place/Kona+Grill+-+Troy/data=!4m2!3m1!1s0x8824c4159112f617:0xbc56aa832e38e81d,,
